year,state,pnae_budget
2010,AC,16340865.0
2010,AL,56413759.0
2010,AM,73507454.0
2010,AP,13372461.0
2010,BA,259208300.0
2010,CE,148583296.0
2010,DF,32357344.0
2010,ES,54050882.0
2010,GO,85677634.0
2010,MA,142674643.0
2010,MG,284466047.0
2010,MS,40237352.0
2010,MT,55880503.0
2010,PA,166905395.0
2010,PB,63412570.0
2010,PE,147840696.0
2010,PI,59943587.0
2010,PR,153349282.0
2010,RJ,218227708.0
2010,RN,56993981.0
2010,RO,30716489.0
2010,RR,9946387.0
2010,RS,146020714.0
2010,SC,88277777.0
2010,SE,32911918.0
2010,SP,572423069.0
2010,TO,24528328.0
2011,AC,16415244.0
2011,AL,55235076.0
2011,AM,74179140.0
2011,AP,15638556.0
2011,BA,260342484.0
2011,CE,146066532.0
2011,DF,33830400.0
2011,ES,54391050.0
2011,GO,87328104.0
2011,MA,143934216.0
2011,MG,286710216.0
2011,MS,41434740.0
2011,MT,55690434.0
2011,PA,165723384.0
2011,PB,63865686.0
2011,PE,147108678.0
2011,PI,59108976.0
2011,PR,155518650.0
2011,RJ,230129670.0
2011,RN,56723616.0
2011,RO,31461684.0
2011,RR,11385402.0
2011,RS,151993104.0
2011,SC,89896434.0
2011,SE,32575728.0
2011,SP,557798100.0
2011,TO,26825688.0
2012,AC,18302952.0
2012,AL,59785606.0
2012,AM,79400378.0
2012,AP,17508996.0
2012,BA,287302396.0
2012,CE,161869818.0
2012,DF,34373196.0
2012,ES,60622440.0
2012,GO,91620924.0
2012,MA,165533118.0
2012,MG,298422154.0
2012,MS,45440304.0
2012,MT,64850352.0
2012,PA,178494888.0
2012,PB,73276634.0
2012,PE,161934004.0
2012,PI,65549860.0
2012,PR,164909632.0
2012,RJ,228910370.0
2012,RN,60946018.0
2012,RO,33989184.0
2012,RR,11375298.0
2012,RS,165136174.0
2012,SC,97553876.0
2012,SE,36800536.0
2012,SP,610662290.0
2012,TO,31932840.0
2013,AC,19806304.0
2013,AL,62900011.0
2013,AM,74612808.0
2013,AP,19820848.0
2013,BA,294109036.0
2013,CE,178326677.0
2013,DF,34663400.0
2013,ES,59972619.0
2013,GO,99749546.0
2013,MA,172812247.0
2013,MG,312638154.0
2013,MS,49357468.0
2013,MT,69199409.0
2013,PA,183284261.0
2013,PB,79051282.0
2013,PE,176815418.0
2013,PI,70415891.0
2013,PR,187626332.0
2013,RJ,233902964.0
2013,RN,64707999.0
2013,RO,35034364.0
2013,RR,12148591.0
2013,RS,180339036.0
2013,SC,108609730.0
2013,SE,39181723.0
2013,SP,682418969.0
2013,TO,37515404.0
2014,AC,20474112.0
2014,AL,63128805.0
2014,AM,89942349.0
2014,AP,19158528.0
2014,BA,305353408.0
2014,CE,179812395.0
2014,DF,31905679.0
2014,ES,67676239.0
2014,GO,105000372.0
2014,MA,192288066.0
2014,MG,340932005.0
2014,MS,48074414.0
2014,MT,70541724.0
2014,PA,189739493.0
2014,PB,82940859.0
2014,PE,180620042.0
2014,PI,76199560.0
2014,PR,193365148.0
2014,RJ,231014560.0
2014,RN,69722460.0
2014,RO,38278461.0
2014,RR,10746690.0
2014,RS,182229722.0
2014,SC,112886755.0
2014,SE,40003504.0
2014,SP,711473519.0
2014,TO,40060180.0
2015,AC,22447464.0
2015,AL,71358380.0
2015,AM,91281154.0
2015,AP,19441570.0
2015,BA,304148371.0
2015,CE,192900984.0
2015,DF,35933356.0
2015,ES,69523078.0
2015,GO,109404076.0
2015,MA,190741964.0
2015,MG,333571170.0
2015,MS,51721052.0
2015,MT,71293650.0
2015,PA,192056736.0
2015,PB,88726438.0
2015,PE,188484252.0
2015,PI,75407544.0
2015,PR,189835698.0
2015,RJ,237082497.0
2015,RN,70466468.0
2015,RO,37532378.0
2015,RR,11337092.0
2015,RS,188116058.0
2015,SC,117563825.0
2015,SE,38610428.0
2015,SP,720377830.0
2015,TO,40425550.0
2016,AC,22412980.0
2016,AL,63798431.0
2016,AM,89775341.0
2016,AP,16532869.0
2016,BA,243050402.0
2016,CE,170371635.0
2016,DF,35648660.0
2016,ES,55117340.0
2016,GO,99433426.0
2016,MA,183399167.0
2016,MG,322100435.0
2016,MS,50465035.0
2016,MT,67355271.0
2016,PA,170574283.0
2016,PB,77695503.0
2016,PE,170647654.0
2016,PI,75142920.0
2016,PR,186172913.0
2016,RJ,201879587.0
2016,RN,56937496.0
2016,RO,37032091.0
2016,RR,9790653.0
2016,RS,175149549.0
2016,SC,115284077.0
2016,SE,31380414.0
2016,SP,654462643.0
2016,TO,39876639.0
2017,AC,23565770.0
2017,AL,69470869.0
2017,AM,89931401.0
2017,AP,8547549.0
2017,BA,323641384.0
2017,CE,196793075.0
2017,DF,41779101.0
2017,ES,73154880.0
2017,GO,108764172.0
2017,MA,186106766.0
2017,MG,373430730.0
2017,MS,60172582.0
2017,MT,73441387.0
2017,PA,172373903.0
2017,PB,79220665.0
2017,PE,189841353.0
2017,PI,88230864.0
2017,PR,209145998.0
2017,RJ,237655797.0
2017,RN,63283009.0
2017,RO,35596321.0
2017,RR,8965347.0
2017,RS,195451793.0
2017,SC,131168911.0
2017,SE,36632984.0
2017,SP,803252892.0
2017,TO,43015199.0
2018,AC,26158980.2
2018,AL,73850368.25
2018,AM,106234637.0
2018,AP,7792894.6
2018,BA,319157429.06
2018,CE,216481452.28
2018,DF,41981622.0
2018,ES,66135821.0
2018,GO,120339397.4
2018,MA,213990561.4
2018,MG,384305422.94
2018,MS,58735211.2
2018,MT,73483541.8
2018,PA,200259920.8
2018,PB,87288423.16
2018,PE,194113735.83
2018,PI,94091968.76
2018,PR,213059101.6
2018,RJ,230625323.35999998
2018,RN,73904917.0
2018,RO,34211204.36
2018,RR,11723023.6
2018,RS,196227459.2
2018,SC,132673754.2
2018,SE,41212817.4
2018,SP,756257242.37
2018,TO,44476762.0
2019,AC,759312531.61
2019,AL,2232394044.7
2019,AM,3041864779.32
2019,AP,232141755.76
2019,BA,8723815424.75
2019,CE,6732936549.09
2019,DF,1181505051.0
2019,ES,1996424357.33
2019,GO,3607380244.64
2019,MA,6353373963.18
2019,MG,11330992682.67
2019,MS,1716616839.42
2019,MT,2227737866.65
2019,PA,5701573900.89
2019,PB,2640441164.58
2019,PE,5563955628.77
2019,PI,2925365788.71
2019,PR,5932552071.36
2019,RJ,7151230958.7
2019,RN,1977243295.44
2019,RO,984164799.21
2019,RR,371389296.8
2019,RS,5540057366.57
2019,SC,4139095307.29
2019,SE,1187929439.0
2019,SP,22663392707.47
2019,TO,1251047320.8700001
